Imagen,Intensidad MÃ¡xima,Intensidad Promedio
L1.png,0.9999999403953552,0.15565337
L2.png,0.9123360514640808,0.026760623
L3.png,0.9999999403953552,0.15495054
L4.png,0.9999999403953552,0.06565193
L5.png,0.16177842020988464,0.0126020815
L6.png,0.9999999403953552,0.06543058
L7.png,0.9999999403953552,0.09182091
L8.png,0.9999999403953552,0.16465381
L9.png,0.9999999403953552,0.27692324
L10.png,0.9999999403953552,0.13614403
L11.png,0.9999999403953552,0.23547706
L12.png,0.9999999403953552,0.45511237
L13.png,0.9960784912109375,0.07492341
L14.png,0.9999999403953552,0.07419118
L15.png,0.9999999403953552,0.08184827
L16.png,0.9999999403953552,0.0937947
L17.png,0.9999999403953552,0.10226317
L18.png,0.9999999403953552,0.100739084
